01:00:am , 26
01:10:am , 26
01:25:am , 26
01:30:am , 26
01:35:am , 25
01:40:am , 25
01:45:am , 26
01:50:am , 26
02:00:am , 26
02:05:am , 25
02:10:am , 25
02:15:am , 25
02:20:am , 25
02:25:am , 25
02:30:am , 25
02:40:am , 25
02:50:am , 25
02:55:am , 25
03:05:am , 25
03:15:am , 25
03:20:am , 25
03:30:am , 25
03:35:am , 25
03:40:am , 25
03:45:am , 25
03:50:am , 25
03:55:am , 25
04:10:am , 25
04:15:am , 25
04:20:am , 25
04:25:am , 25
04:30:am , 25
04:40:am , 25
04:50:am , 25
05:00:am , 25
05:05:am , 25
05:15:am , 27
05:30:am , 25
05:40:am , 25
05:45:am , 25
05:50:am , 25
05:55:am , 25
06:00:am , 25
06:05:am , 25
06:10:am , 25
06:15:am , 25
06:25:am , 25
06:35:am , 25
06:40:am , 25
06:45:am , 25
06:50:am , 25
07:00:am , 25
07:05:am , 25
07:10:am , 24
07:15:am , 25
07:25:am , 25
07:30:am , 25
